X,Y
36.77036169,-1.380872289
36.77361622,-1.380407075
36.77676147,-1.378888201
36.77807859,-1.376969935
36.77898185,-1.374025756
36.77879818,-1.36933392
36.77914173,-1.368669285
36.78314005,-1.366505172
36.78494287,-1.366788223
36.78989583,-1.364385808
36.79057271,-1.362845729
36.7917887,-1.361546073
36.79362861,-1.360832071
36.79502301,-1.359771509
36.7957857,-1.357489607
36.79602975,-1.355038474
36.79575729,-1.35258733
36.79636618,-1.351091954
36.79860835,-1.350699849
36.79842099,-1.348746284
36.79712751,-1.346355919
36.79550517,-1.344285006
36.79464754,-1.344455518
36.79155815,-1.341638643
36.78985757,-1.341460704
36.78867753,-1.340545209
36.78600446,-1.341930954
36.78244812,-1.338446791
36.78171943,-1.333099118
36.777688,-1.335579986
36.7752282,-1.337153132
36.77290991,-1.339162707
36.77078612,-1.340599479
36.76913282,-1.342062074
36.76706709,-1.343202126
36.76452693,-1.349657371
36.76322229,-1.351668936
36.76211115,-1.355033763
36.76278256,-1.360573707
36.7660068,-1.364350343
36.7679985,-1.367708358
36.76771362,-1.369906008
36.76972257,-1.374057737
36.77036169,-1.380872289
